run_dir,study_root,backend,noise_type,seed,noise_aware,noise_level_name,noise_level,secondary_param_name,secondary_param,sigma,alpha,p_spike,spike_scale,sp_sigma,Nexp,num_trials,all_throws,all_hits,all_hit_rate_pct,all_mean_error_m,policy_throws,policy_hits,policy_hit_rate_pct,policy_mean_error_m,policy_median_error_m,policy_p90_error_m,final_cost
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study\saltpepper_p_0p050_scale_0p300_sigma_0p000_naive\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study,numpy,saltpepper,1,False,p_spike,0.05,spike_scale,0.3,0.04,0.2,0.05,0.3,0.0,6,4,8,4,50.0,0.15045321740428352,2,2,100.0,0.019066930196074142,0.019066930196074142,0.02007297550829217,0.0021730833452032025
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study\saltpepper_p_0p050_scale_0p300_sigma_0p000_naive\2,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study,numpy,saltpepper,2,False,p_spike,0.05,spike_scale,0.3,0.04,0.2,0.05,0.3,0.0,6,4,10,6,60.0,0.14070917075001774,4,4,100.0,0.01908794027424906,0.021910030128723806,0.02884978333873934,0.0012218306362552906
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study\saltpepper_p_0p050_scale_0p300_sigma_0p000_naive\3,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study,numpy,saltpepper,3,False,p_spike,0.05,spike_scale,0.3,0.04,0.2,0.05,0.3,0.0,6,4,10,5,50.0,0.1716156764365248,4,3,75.0,0.055454792272904174,0.01846655508024911,0.12451225400084312,0.0013453533483049928
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study\saltpepper_p_0p050_scale_0p300_sigma_0p000_aware\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study,numpy,saltpepper,1,True,p_spike,0.05,spike_scale,0.3,0.04,0.2,0.05,0.3,0.0,6,4,10,6,60.0,0.1288447027931215,4,4,100.0,0.03073878727227378,0.03695261104396133,0.043954432409563204,0.01062103671383069
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study\saltpepper_p_0p050_scale_0p300_sigma_0p000_aware\2,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study,numpy,saltpepper,2,True,p_spike,0.05,spike_scale,0.3,0.04,0.2,0.05,0.3,0.0,6,4,10,6,60.0,0.13935666470509,4,4,100.0,0.015706675161929726,0.01153176760504158,0.03202129956145511,0.009189279582678464
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study\saltpepper_p_0p050_scale_0p300_sigma_0p000_aware\3,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study,numpy,saltpepper,3,True,p_spike,0.05,spike_scale,0.3,0.04,0.2,0.05,0.3,0.0,6,4,10,6,60.0,0.15647097286108144,4,4,100.0,0.01759303333429582,0.021752473888919644,0.02441791204189273,0.010070771864662017
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study\saltpepper_p_0p100_scale_0p300_sigma_0p000_naive\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study,numpy,saltpepper,1,False,p_spike,0.1,spike_scale,0.3,0.04,0.2,0.1,0.3,0.0,6,4,10,5,50.0,0.13693568668009973,4,3,75.0,0.05096624698971933,0.019066930196074142,0.11426366876747754,0.0014429124053832853
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study\saltpepper_p_0p100_scale_0p300_sigma_0p000_naive\2,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study,numpy,saltpepper,2,False,p_spike,0.1,spike_scale,0.3,0.04,0.2,0.1,0.3,0.0,6,4,10,3,30.0,0.17766206635425888,4,2,50.0,0.0737559348756271,0.0650933299347834,0.1309211624181444,0.0013575576510608902
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study\saltpepper_p_0p100_scale_0p300_sigma_0p000_naive\3,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study,numpy,saltpepper,3,False,p_spike,0.1,spike_scale,0.3,0.04,0.2,0.1,0.3,0.0,6,4,10,5,50.0,0.17091864523672734,4,3,75.0,0.053712214273410566,0.018720473491367275,0.1173896088873336,0.0013548984508101028
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study\saltpepper_p_0p100_scale_0p300_sigma_0p000_aware\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_multiseed_study,numpy,saltpepper,1,True,p_spike,0.1,spike_scale,0.3,0.04,0.2,0.1,0.3,0.0,6,4,10,5,50.0,0.13713085964005103,4,3,75.0,0.05145417938959759,0.023729577852500818,0.11295570180124401,0.018072457079245086
