run_dir,study_root,backend,noise_type,seed,noise_aware,noise_level_name,noise_level,secondary_param_name,secondary_param,sigma,alpha,p_spike,spike_scale,sp_sigma,Nexp,num_trials,all_throws,all_hits,all_hit_rate_pct,all_mean_error_m,policy_throws,policy_hits,policy_hit_rate_pct,policy_mean_error_m,policy_median_error_m,policy_p90_error_m,final_cost
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_study\saltpepper_p_0p050_scale_0p300_sigma_0p000_naive\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_study,numpy,saltpepper,1,False,p_spike,0.05,spike_scale,0.3,0.04,0.2,0.05,0.3,0.0,6,4,10,6,60.0,0.15756937880340785,4,3,75.0,0.043882309012611406,0.025660708602735803,0.0883939398124291,0.004104255410955956
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_study\saltpepper_p_0p050_scale_0p300_sigma_0p000_aware\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_study,numpy,saltpepper,1,True,p_spike,0.05,spike_scale,0.3,0.04,0.2,0.05,0.3,0.0,6,4,10,7,70.0,0.1517091525187065,4,4,100.0,0.029231743300858135,0.01811962210144677,0.053423381861872773,0.016045107378489017
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study\saltpepper_p_0p100_scale_0p300_sigma_0p000_naive\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study,pybullet,saltpepper,1,False,p_spike,0.1,spike_scale,0.3,0.04,0.2,0.1,0.3,0.0,6,4,10,2,20.0,0.20989176098293613,4,1,25.0,0.10124941039493705,0.10603178304579412,0.13567785426059578,0.0034534760825184825
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study\saltpepper_p_0p100_scale_0p300_sigma_0p000_aware\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study,pybullet,saltpepper,1,True,p_spike,0.1,spike_scale,0.3,0.04,0.2,0.1,0.3,0.0,6,4,10,4,40.0,0.21354903074159454,4,3,75.0,0.11039258479158291,0.09381855120356172,0.16452345335564394,0.023807267221625364
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_study\saltpepper_p_0p150_scale_0p300_sigma_0p000_naive\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_study,numpy,saltpepper,1,False,p_spike,0.15,spike_scale,0.3,0.04,0.2,0.15,0.3,0.0,6,4,10,5,50.0,0.17073945285048678,4,2,50.0,0.07680749413030878,0.07202830965302301,0.13395903750041918,0.004104255410955956
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_study\saltpepper_p_0p150_scale_0p300_sigma_0p000_aware\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_study,numpy,saltpepper,1,True,p_spike,0.15,spike_scale,0.3,0.04,0.2,0.15,0.3,0.0,6,4,10,5,50.0,0.17659229960722786,4,2,50.0,0.09143961102216148,0.08964973324603777,0.1674022853870222,0.031434827562809166
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study\slip_alpha_0p050_sigma_0p040_naive\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study,numpy,slip,1,False,alpha,0.05,sigma,0.04,0.04,0.05,0.1,0.3,0.0,6,4,10,4,40.0,0.1577727040968825,4,4,100.0,0.06818142104912603,0.06983111684671547,0.07610561630348693,0.0034869408916460088
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study\slip_alpha_0p050_sigma_0p040_aware\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study,numpy,slip,1,True,alpha,0.05,sigma,0.04,0.04,0.05,0.1,0.3,0.0,6,4,10,4,40.0,0.14088995353737682,4,4,100.0,0.025974544650361885,0.02594787538439293,0.037751516322304876,0.007000198553659689
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study\slip_alpha_0p100_sigma_0p040_naive\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study,numpy,slip,1,False,alpha,0.1,sigma,0.04,0.04,0.1,0.1,0.3,0.0,6,4,10,2,20.0,0.17203486808581658,4,1,25.0,0.12423148549883967,0.1199326876104165,0.16037426569744867,0.003553584539316747
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study\slip_alpha_0p100_sigma_0p040_aware\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study,numpy,slip,1,True,alpha,0.1,sigma,0.04,0.04,0.1,0.1,0.3,0.0,6,4,10,5,50.0,0.1403598716738555,4,4,100.0,0.045043994468937004,0.03973319792596225,0.07321290655365625,0.006721777104443343
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study\slip_alpha_0p150_sigma_0p040_naive\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study,pybullet,slip,1,False,alpha,0.15,sigma,0.04,0.04,0.15,0.1,0.3,0.0,6,4,10,7,70.0,0.1266825929123185,4,4,100.0,0.0577707957109653,0.07082688788002664,0.08081886570551322,0.0033943357959296335
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study\slip_alpha_0p150_sigma_0p040_aware\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_paper_study,numpy,slip,1,True,alpha,0.15,sigma,0.04,0.04,0.15,0.1,0.3,0.0,6,4,10,5,50.0,0.14988626673786618,4,4,100.0,0.035937126258296426,0.03571222111265319,0.05298879077548255,0.006232296484720441
C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_study\slip_alpha_0p200_sigma_0p040_naive\1,C:\Users\Yajesh\Desktop\ar525_project\mc-pilot-pybullet\results_mc_pilot_pb_noise_study,numpy,slip,1,False,alpha,0.2,sigma,0.04,0.04,0.2,0.1,0.3,0.0,6,4,10,1,10.0,0.2177594464655454,4,0,0.0,0.1881474091466142,0.17661602266703666,0.22065423341808166,0.004036784619686784
