robot,joint_id,joint_name,joint_type,lower,upper,velocity_limit,child_link
franka_panda,0,panda_joint1,revolute,-2.9671,2.9671,2.175,panda_link1
franka_panda,1,panda_joint2,revolute,-1.8326,1.8326,2.175,panda_link2
franka_panda,2,panda_joint3,revolute,-2.9671,2.9671,2.175,panda_link3
franka_panda,3,panda_joint4,revolute,-3.1416,0.0,2.175,panda_link4
franka_panda,4,panda_joint5,revolute,-2.9671,2.9671,2.61,panda_link5
franka_panda,5,panda_joint6,revolute,-0.0873,3.8223,2.61,panda_link6
franka_panda,6,panda_joint7,revolute,-2.9671,2.9671,2.61,panda_link7
kuka_iiwa,0,lbr_iiwa_joint_1,revolute,-2.96705972839,2.96705972839,10.0,lbr_iiwa_link_1
kuka_iiwa,1,lbr_iiwa_joint_2,revolute,-2.09439510239,2.09439510239,10.0,lbr_iiwa_link_2
kuka_iiwa,2,lbr_iiwa_joint_3,revolute,-2.96705972839,2.96705972839,10.0,lbr_iiwa_link_3
kuka_iiwa,3,lbr_iiwa_joint_4,revolute,-2.09439510239,2.09439510239,10.0,lbr_iiwa_link_4
kuka_iiwa,4,lbr_iiwa_joint_5,revolute,-2.96705972839,2.96705972839,10.0,lbr_iiwa_link_5
kuka_iiwa,5,lbr_iiwa_joint_6,revolute,-2.09439510239,2.09439510239,10.0,lbr_iiwa_link_6
kuka_iiwa,6,lbr_iiwa_joint_7,revolute,-3.05432619099,3.05432619099,10.0,lbr_iiwa_link_7
xarm6,1,joint1,revolute,-6.28318530718,6.28318530718,3.14,link1
xarm6,2,joint2,revolute,-2.059,2.0944,3.14,link2
xarm6,3,joint3,revolute,-3.927,0.19198,3.14,link3
xarm6,4,joint4,revolute,-6.28318530718,6.28318530718,3.14,link4
xarm6,5,joint5,revolute,-1.69297,3.14159265359,3.14,link5
xarm6,6,joint6,revolute,-6.28318530718,6.28318530718,3.14,link6
