epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.536,0.7221,2.03339,0.8774,0.00328,0.985,0.00719,0.00611,0.54238,3.65002,0.83047,0.000653333,0.000653333,0.000653333
2,438.815,0.59909,0.98175,0.84132,0.97084,0.975,0.96827,0.85669,0.53078,1.85619,0.86317,0.00129386,0.00129386,0.00129386
3,658.023,0.58519,0.89311,0.8485,0.96943,0.98,0.97965,0.86524,0.51153,0.77909,0.8573,0.00190799,0.00190799,0.00190799
4,884.589,0.50522,0.72134,0.82625,0.97324,0.98,0.98074,0.85003,0.50653,0.74126,0.84714,0.0018812,0.0018812,0.0018812
5,1110.95,0.53675,0.61473,0.83168,0.96949,0.98,0.97449,0.8758,0.48709,0.56178,0.84345,0.0018416,0.0018416,0.0018416
6,1307.79,0.49508,0.51925,0.82757,0.97752,0.98,0.97198,0.86815,0.54536,0.54176,0.85382,0.001802,0.001802,0.001802
7,1501.52,0.4474,0.46554,0.81438,0.95812,0.965,0.97924,0.88644,0.43059,0.44628,0.83189,0.0017624,0.0017624,0.0017624
8,1691.7,0.43022,0.41932,0.81298,0.97457,0.98,0.97753,0.90502,0.3799,0.38719,0.82155,0.0017228,0.0017228,0.0017228
9,1878.42,0.40514,0.39854,0.81016,0.9745,0.98,0.97529,0.91491,0.33407,0.36129,0.81253,0.0016832,0.0016832,0.0016832
10,2066.9,0.40485,0.37992,0.81046,0.97905,0.98,0.98332,0.91281,0.35339,0.35531,0.81756,0.0016436,0.0016436,0.0016436
11,2254.56,0.39378,0.35779,0.80889,0.97454,0.98,0.98438,0.91635,0.31501,0.33228,0.8128,0.001604,0.001604,0.001604
12,2442.86,0.3793,0.34123,0.80083,0.95106,0.98,0.98195,0.94993,0.31124,0.34816,0.8089,0.0015644,0.0015644,0.0015644
13,2631.72,0.37369,0.3308,0.80652,0.98491,0.97921,0.99223,0.91234,0.34874,0.30316,0.8208,0.0015248,0.0015248,0.0015248
14,2818.93,0.37653,0.31596,0.80009,0.98325,0.98,0.97941,0.96329,0.2386,0.27061,0.80273,0.0014852,0.0014852,0.0014852
15,3003.3,0.35536,0.30878,0.79653,0.98425,0.98,0.98441,0.93876,0.29139,0.26934,0.80352,0.0014456,0.0014456,0.0014456
16,3189.41,0.32945,0.28782,0.79691,0.97973,0.98,0.99007,0.96023,0.27853,0.27455,0.80375,0.001406,0.001406,0.001406
17,3375.07,0.34077,0.29181,0.79582,0.9849,0.9783,0.98761,0.94369,0.28203,0.26584,0.80557,0.0013664,0.0013664,0.0013664
18,3561.91,0.34634,0.30054,0.79663,0.98865,0.98,0.9867,0.96923,0.24853,0.24345,0.80314,0.0013268,0.0013268,0.0013268
19,3746.57,0.33921,0.29345,0.79235,0.98877,0.98,0.987,0.9666,0.25034,0.24364,0.80491,0.0012872,0.0012872,0.0012872
20,3932.2,0.33066,0.2881,0.80015,0.98989,0.97929,0.99172,0.96716,0.27734,0.24277,0.80558,0.0012476,0.0012476,0.0012476
21,4117.62,0.32165,0.27678,0.79113,0.98206,0.98,0.98994,0.97031,0.26363,0.26267,0.80103,0.001208,0.001208,0.001208
22,4303.22,0.30951,0.26593,0.78859,0.98649,0.98,0.98916,0.96616,0.26121,0.23376,0.80171,0.0011684,0.0011684,0.0011684
23,4489.63,0.31867,0.26456,0.79156,0.99077,0.975,0.98973,0.97298,0.23014,0.21836,0.79862,0.0011288,0.0011288,0.0011288
24,4675.65,0.30479,0.25781,0.7898,0.98481,0.98,0.98886,0.96016,0.26038,0.23557,0.80287,0.0010892,0.0010892,0.0010892
25,4863.01,0.29831,0.24812,0.79571,0.97507,0.97764,0.98742,0.9534,0.29963,0.24296,0.8092,0.0010496,0.0010496,0.0010496
26,5048.49,0.30651,0.24125,0.78709,0.98489,0.97757,0.99154,0.96906,0.23959,0.21923,0.80032,0.00101,0.00101,0.00101
27,5235.78,0.28595,0.23888,0.79454,0.98696,0.98,0.98135,0.9653,0.23222,0.22611,0.79749,0.0009704,0.0009704,0.0009704
28,5421.43,0.27164,0.23659,0.77974,0.98456,0.98,0.99253,0.96516,0.22922,0.22398,0.79682,0.0009308,0.0009308,0.0009308
29,5606.05,0.28414,0.24633,0.79249,0.98615,0.98,0.98925,0.96942,0.22146,0.21981,0.79561,0.0008912,0.0008912,0.0008912
30,5791.63,0.28476,0.23691,0.78882,0.98143,0.98,0.98511,0.9684,0.21003,0.21376,0.79221,0.0008516,0.0008516,0.0008516
31,5977.39,0.26629,0.22604,0.78636,0.99492,0.97937,0.99067,0.96746,0.25521,0.21519,0.79756,0.000812,0.000812,0.000812
32,6163.04,0.26986,0.22694,0.78262,0.9844,0.98,0.99086,0.97684,0.22888,0.20571,0.79559,0.0007724,0.0007724,0.0007724
33,6348.29,0.2744,0.22836,0.78521,0.98424,0.98,0.99026,0.97422,0.19941,0.20135,0.79474,0.0007328,0.0007328,0.0007328
34,6533.33,0.25312,0.21805,0.78984,0.97453,0.98,0.99011,0.97263,0.2018,0.21399,0.79288,0.0006932,0.0006932,0.0006932
35,6718.66,0.24719,0.21457,0.782,0.98396,0.98,0.98609,0.96787,0.21368,0.19624,0.79364,0.0006536,0.0006536,0.0006536
36,6956.41,0.2537,0.21045,0.7866,0.98035,0.98,0.99333,0.97512,0.20511,0.19574,0.79886,0.000614,0.000614,0.000614
37,7172.19,0.25053,0.20883,0.78355,0.99349,0.98,0.99024,0.9691,0.23395,0.20358,0.79403,0.0005744,0.0005744,0.0005744
38,7372.93,0.2443,0.202,0.78765,0.98463,0.98,0.99163,0.97524,0.23684,0.18683,0.79524,0.0005348,0.0005348,0.0005348
39,7591.95,0.2412,0.19388,0.77216,0.98416,0.98,0.99234,0.97743,0.21236,0.18365,0.79286,0.0004952,0.0004952,0.0004952
40,8434.15,0.25431,0.2034,0.79324,0.98414,0.98,0.99035,0.97599,0.18119,0.18531,0.79275,0.0004556,0.0004556,0.0004556
41,8646.45,0.21104,0.18544,0.76497,0.98773,0.98,0.99156,0.97849,0.18485,0.17956,0.79205,0.000416,0.000416,0.000416
42,8860.03,0.19738,0.17401,0.77272,0.98799,0.98,0.99143,0.97448,0.2135,0.20112,0.79477,0.0003764,0.0003764,0.0003764
43,9056.94,0.18751,0.16816,0.77015,0.98912,0.98,0.99213,0.97749,0.19237,0.1801,0.79124,0.0003368,0.0003368,0.0003368
44,9254.37,0.18131,0.15894,0.77536,0.98922,0.98,0.99377,0.97743,0.18606,0.1758,0.79294,0.0002972,0.0002972,0.0002972
45,9456.45,0.17679,0.15492,0.77257,0.9901,0.98,0.99348,0.97634,0.18529,0.17785,0.79222,0.0002576,0.0002576,0.0002576
46,9668.58,0.1755,0.14978,0.77587,0.9847,0.98,0.9904,0.9782,0.16757,0.16952,0.7902,0.000218,0.000218,0.000218
47,9859.92,0.16656,0.14668,0.76935,0.98559,0.98,0.99178,0.97937,0.18063,0.16835,0.7898,0.0001784,0.0001784,0.0001784
48,10069.9,0.16807,0.15072,0.76685,0.9845,0.98,0.99193,0.98051,0.16528,0.1626,0.78857,0.0001388,0.0001388,0.0001388
49,10267.7,0.15862,0.14309,0.76213,0.9843,0.98,0.99101,0.98027,0.15916,0.16099,0.78901,9.92e-05,9.92e-05,9.92e-05
50,10477.8,0.15362,0.13712,0.76501,0.98374,0.98,0.99151,0.98013,0.15681,0.15548,0.78871,5.96e-05,5.96e-05,5.96e-05
